# MSE	MAE	PR	
2.344226834283273675e+01 3.502396543560605924e+00 8.327113307449047763e-01
1.686125367053766411e+01 3.313395391660748590e+00 8.345283544563760758e-01
2.428057901038737398e+01 3.481343087121211877e+00 8.002901633579165841e-01
1.334194426331938921e+01 3.064990246212120795e+00 8.388135790588596707e-01
1.385743919460641749e+01 2.891330776515151246e+00 8.329748749524523710e-01
8.261354046330714240e+00 2.248210937500000117e+00 8.916012539159308137e-01
1.987922698034386926e+01 3.183886931818181498e+00 8.117966657202216885e-01
2.256094582973530294e+01 3.930525864109847944e+00 7.480133865600959719e-01
2.019453211499874357e+01 3.372333740234375377e+00 8.174462416908312434e-01
4.318711274331604955e+01 3.898069921874999899e+00 6.861902010959782805e-01
